[685615.769855] cpu=0	jifd=27	cycled=298878	insd=432780	cml2=2905	bmd=14534
[685615.877856] cpu=0	jifd=27	cycled=150945	insd=328260	cml2=1103	bmd=10090
[685615.985860] cpu=0	jifd=27	cycled=129873	insd=213332	cml2=637	bmd=5627
[685616.093854] cpu=0	jifd=27	cycled=135926	insd=322938	cml2=775	bmd=10159
[685616.201852] cpu=0	jifd=27	cycled=145307	insd=372790	cml2=765	bmd=11833
[685616.309859] cpu=0	jifd=27	cycled=134057	insd=273949	cml2=701	bmd=8169
[685616.417858] cpu=0	jifd=27	cycled=144585	insd=384860	cml2=843	bmd=13002
[685616.525858] cpu=0	jifd=27	cycled=138694	insd=314946	cml2=862	bmd=10177
[685616.633852] cpu=0	jifd=27	cycled=134952	insd=287375	cml2=773	bmd=9072
[685616.741844] cpu=0	jifd=27	cycled=133641	insd=294744	cml2=759	bmd=9740
[685616.849864] cpu=0	jifd=27	cycled=291229	insd=397885	cml2=2972	bmd=13885
[685616.957854] cpu=0	jifd=27	cycled=161119	insd=401982	cml2=1201	bmd=13265
[685617.065854] cpu=0	jifd=27	cycled=137212	insd=274208	cml2=775	bmd=7902
[685617.173859] cpu=0	jifd=27	cycled=137963	insd=320689	cml2=871	bmd=9488
[685617.281854] cpu=0	jifd=27	cycled=141290	insd=358782	cml2=842	bmd=11111
[685617.389852] cpu=0	jifd=27	cycled=141124	insd=342273	cml2=822	bmd=11066
[685617.497842] cpu=0	jifd=27	cycled=134915	insd=293818	cml2=747	bmd=9419
[685617.605837] cpu=0	jifd=27	cycled=148314	insd=404874	cml2=1122	bmd=12938
[685617.713856] cpu=0	jifd=27	cycled=146377	insd=382720	cml2=911	bmd=12798
[685617.821852] cpu=0	jifd=27	cycled=134299	insd=286282	cml2=663	bmd=8930
[685617.929871] cpu=0	jifd=27	cycled=287457	insd=371395	cml2=805	bmd=12766
[685618.037846] cpu=0	jifd=27	cycled=162170	insd=438198	cml2=1679	bmd=14447
[685618.145852] cpu=0	jifd=27	cycled=147867	insd=370277	cml2=1181	bmd=11013
[685618.253856] cpu=0	jifd=27	cycled=161066	insd=477279	cml2=1863	bmd=14172
[685618.361846] cpu=0	jifd=27	cycled=134880	insd=276642	cml2=530	bmd=9142
[685618.469853] cpu=0	jifd=27	cycled=135007	insd=318472	cml2=764	bmd=10219
[685618.577850] cpu=0	jifd=27	cycled=140027	insd=329408	cml2=824	bmd=10619
[685618.685873] cpu=0	jifd=27	cycled=158059	insd=475686	cml2=1374	bmd=15791
[685618.793841] cpu=0	jifd=27	cycled=140769	insd=310045	cml2=736	bmd=9915
[685618.901854] cpu=0	jifd=27	cycled=133697	insd=292870	cml2=778	bmd=9421
[685619.009880] cpu=0	jifd=27	cycled=285688	insd=371884	cml2=964	bmd=12132
[685619.117843] cpu=0	jifd=27	cycled=154687	insd=380867	cml2=999	bmd=12460
[685619.225852] cpu=0	jifd=27	cycled=133877	insd=274829	cml2=558	bmd=8207
[685619.333902] cpu=0	jifd=27	cycled=178620	insd=684097	cml2=3037	bmd=20332
[685619.441847] cpu=0	jifd=27	cycled=137044	insd=287810	cml2=672	bmd=8212
[685619.549848] cpu=0	jifd=27	cycled=126095	insd=220547	cml2=576	bmd=6147
[685619.657866] cpu=0	jifd=27	cycled=149928	insd=431129	cml2=932	bmd=15059
[685619.765851] cpu=0	jifd=27	cycled=139342	insd=332101	cml2=807	bmd=11398
[685619.873842] cpu=0	jifd=27	cycled=140041	insd=336582	cml2=760	bmd=11155
[685619.981852] cpu=0	jifd=27	cycled=134507	insd=276089	cml2=634	bmd=8392
[685620.089857] cpu=0	jifd=27	cycled=282877	insd=304323	cml2=742	bmd=9531
[685620.197848] cpu=0	jifd=27	cycled=147175	insd=338296	cml2=919	bmd=10539
[685620.305831] cpu=0	jifd=27	cycled=136359	insd=308104	cml2=613	bmd=9365
[685620.413842] cpu=0	jifd=27	cycled=130366	insd=256459	cml2=569	bmd=7708
[685620.521846] cpu=0	jifd=27	cycled=130320	insd=265990	cml2=665	bmd=8053
[685620.629846] cpu=0	jifd=27	cycled=135607	insd=311583	cml2=792	bmd=10236
[685620.737834] cpu=0	jifd=27	cycled=145350	insd=388852	cml2=759	bmd=13491
[685620.845848] cpu=0	jifd=27	cycled=138797	insd=317338	cml2=705	bmd=10521
[685620.953848] cpu=0	jifd=27	cycled=147030	insd=388500	cml2=832	bmd=13196
[685621.061842] cpu=0	jifd=27	cycled=143829	insd=367136	cml2=791	bmd=12297
[685621.169863] cpu=0	jifd=27	cycled=292574	insd=379112	cml2=859	bmd=12089
[685621.277847] cpu=0	jifd=27	cycled=164333	insd=478539	cml2=1008	bmd=16597
[685621.385824] cpu=0	jifd=27	cycled=147194	insd=389907	cml2=754	bmd=12727
[685621.493847] cpu=0	jifd=27	cycled=141834	insd=347359	cml2=690	bmd=11356
[685621.601840] cpu=0	jifd=27	cycled=134686	insd=290707	cml2=737	bmd=9374
[685621.709842] cpu=0	jifd=27	cycled=132469	insd=271232	cml2=1372	bmd=8056
[685621.817844] cpu=0	jifd=27	cycled=135958	insd=284906	cml2=652	bmd=8910
[685621.925840] cpu=0	jifd=27	cycled=125275	insd=210920	cml2=536	bmd=5531
[685622.033842] cpu=0	jifd=27	cycled=131392	insd=262186	cml2=629	bmd=7652
[685622.141836] cpu=0	jifd=27	cycled=136859	insd=297475	cml2=1238	bmd=9006
[685622.249856] cpu=0	jifd=27	cycled=281762	insd=319384	cml2=929	bmd=9532
[685622.357842] cpu=0	jifd=27	cycled=154478	insd=392777	cml2=1149	bmd=12952
[685622.465876] cpu=0	jifd=27	cycled=129678	insd=220053	cml2=658	bmd=5420
[685622.573843] cpu=0	jifd=27	cycled=136366	insd=332373	cml2=824	bmd=11179
[685622.681869] cpu=0	jifd=27	cycled=144790	insd=354447	cml2=1057	bmd=10646
[685622.789842] cpu=0	jifd=27	cycled=137059	insd=297766	cml2=653	bmd=10085
[685622.897842] cpu=0	jifd=27	cycled=132666	insd=263316	cml2=678	bmd=8066
[685623.005823] cpu=0	jifd=27	cycled=142561	insd=370018	cml2=1534	bmd=13194
[685623.113845] cpu=0	jifd=27	cycled=139491	insd=310452	cml2=873	bmd=10131
[685623.221844] cpu=0	jifd=27	cycled=134871	insd=288589	cml2=934	bmd=9021
[685623.329888] cpu=0	jifd=27	cycled=280080	insd=293495	cml2=800	bmd=8633
[685623.437840] cpu=0	jifd=27	cycled=150824	insd=369166	cml2=1006	bmd=12136
[685623.545839] cpu=0	jifd=27	cycled=140459	insd=343361	cml2=758	bmd=11059
[685623.653854] cpu=0	jifd=27	cycled=127545	insd=211459	cml2=539	bmd=5640
[685623.761834] cpu=0	jifd=27	cycled=136254	insd=320158	cml2=757	bmd=10707
[685623.869836] cpu=0	jifd=27	cycled=141216	insd=336327	cml2=766	bmd=10889
[685623.977840] cpu=0	jifd=27	cycled=145996	insd=385423	cml2=785	bmd=13354
[685624.085841] cpu=0	jifd=27	cycled=138846	insd=322022	cml2=667	bmd=10620
[685624.193838] cpu=0	jifd=27	cycled=130432	insd=244167	cml2=632	bmd=7248
[685624.301837] cpu=0	jifd=27	cycled=138421	insd=325199	cml2=659	bmd=10302
[685624.413836] cpu=0	jifd=28	cycled=310336	insd=443072	cml2=949	bmd=14910
[685624.521823] cpu=0	jifd=27	cycled=148141	insd=391895	cml2=1522	bmd=13007
